,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
62,Alexander,11014,Alcoholic,Ordinary Drink,Gin,,,,,,,Creme de Cacao,Light cream,Nutmeg,,,,,
63,Alfie Cocktail,11019,Alcoholic,Ordinary Drink,Lemon vodka,,,,,,,Triple sec,Pineapple juice,,,,,,
64,Algonquin,11020,Alcoholic,Ordinary Drink,Blended whiskey,,,,,,,Dry Vermouth,Pineapple juice,,,,,,
65,Alice Cocktail,12562,Non alcoholic,Cocktail,Grenadine,,,,,,,Orange juice,Pineapple juice,Cream,,,,,
66,Alice in Wonderland,17094,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Grand Marnier,Southern Comfort,,,,,,
67,Allegheny,11021,Alcoholic,Ordinary Drink,Dry Vermouth,,,,,,,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,
68,Allies Cocktail,11022,Alcoholic,Ordinary Drink,Dry Vermouth,,,,,,,Gin,Kummel,,,,,,
69,Almeria,11023,Alcoholic,Ordinary Drink,Dark rum,,,,,,,Kahlua,Egg white,,,,,,
70,Almond Chocolate Coffee,16082,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Dark Creme de Cacao,Coffee,,,,,,
71,Almond Joy,11024,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Creme de Cacao,Light cream,,,,,,
72,Aloha Fruit punch,12862,Non alcoholic,Punch / Party Drink,Water,,,,,,,Ginger,Guava juice,Lemon juice,Pineapple,Sugar,Pineapple juice,,
73,Amaretto And Cream,11025,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Light cream,,,,,,,
74,Amaretto Liqueur,12792,Alcoholic,Homemade Liqueur,Sugar,Food coloring,Glycerine,,,,,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,Food coloring
75,Amaretto Mist,11026,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Lime,,,,,,,
76,Amaretto Rose,11027,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Lime juice,Club soda,,,,,,
77,Amaretto Shake,15194,Alcoholic,Ordinary Drink,Chocolate ice-cream,,,,,,,Brandy,Amaretto,,,,,,
78,Amaretto Sour,13731,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Sour mix,,,,,,,
79,Amaretto Stinger,11028,Alcoholic,Ordinary Drink,Amaretto,,,,,,,White Creme de Menthe,,,,,,,
80,Amaretto Stone Sour,14306,Alcoholic,Other/Unknown,Amaretto,,,,,,,Sour mix,Orange juice,,,,,,
81,Amaretto Stone Sour #3,16100,Alcoholic,Other/Unknown,Sour mix,,,,,,,Amaretto,Tequila,Orange juice,,,,,
82,Amaretto Sunrise,14578,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Orange juice,Grenadine,,,,,,
83,Amaretto Sunset,17168,Alcoholic,Ordinary Drink,Triple sec,,,,,,,Amaretto,Cider,Ice,,,,,
84,Amaretto Sweet & Sour,16202,Alcoholic,Punch / Party Drink,Amaretto,,,,,,,Sweet and sour,Midori melon liqueur,Pineapple juice,,,,,
